Chunk Title,Text,Start Offset,End Offset
Quick sort in 4 minutes CHUNK1,today we're going to learn quicksort,0.03,5.58
Quick sort in 4 minutes CHUNK2,like merge sort quicksort is a recursive,2.54,8.429
Quick sort in 4 minutes CHUNK3,algorithm however when you think of,5.58,10.11
Quick sort in 4 minutes CHUNK4,quicksort I want you to think of the,8.429,13.17
Quick sort in 4 minutes CHUNK5,word pivot a pivot is simply one of the,10.11,15.239999999999998
Quick sort in 4 minutes CHUNK6,items in the array that means the,13.17,17.1
Quick sort in 4 minutes CHUNK7,following three conditions after we,15.24,20.67
Quick sort in 4 minutes CHUNK8,sorted it first the pivot is in its,17.1,22.439
Quick sort in 4 minutes CHUNK9,correct position in the final sorted,20.67,25.26
Quick sort in 4 minutes CHUNK10,array this means that all items to the,22.439,27.539
Quick sort in 4 minutes CHUNK11,left are smaller and all items to the,25.26,30.21
Quick sort in 4 minutes CHUNK12,right are larger let's look at an,27.539,33.54
Quick sort in 4 minutes CHUNK13,example we're asked to sort the,30.21,36.44
Quick sort in 4 minutes CHUNK14,following array let's choose a pivot,33.54,39.239
Quick sort in 4 minutes CHUNK15,I'll explain the best way to do this,36.44,41.25
Quick sort in 4 minutes CHUNK16,later but for now let's just choose,39.239,45.239
Quick sort in 4 minutes CHUNK17,three first we move the pivot to the end,41.25,48.980000000000004
Quick sort in 4 minutes CHUNK18,of the array to get it out of our way,45.239,48.98
Quick sort in 4 minutes CHUNK19,next we're going to look for two items,50.34,55.17
Quick sort in 4 minutes CHUNK20,item from left which is the first item,52.58,57.599999999999994
Quick sort in 4 minutes CHUNK21,starting from the left that is larger,55.17,61.17
Quick sort in 4 minutes CHUNK22,than our pivot second item from right,57.6,63.39
Quick sort in 4 minutes CHUNK23,which is the first item starting from,61.17,67.46000000000001
Quick sort in 4 minutes CHUNK24,the right that is smaller than our pivot,63.39,67.46000000000001
Quick sort in 4 minutes CHUNK25,starting at two we can see that six is,68.36,74.12
Quick sort in 4 minutes CHUNK26,item from left,71.25,74.12
Quick sort in 4 minutes CHUNK27,now starting at the right we see that,75.2,80.71000000000001
Quick sort in 4 minutes CHUNK28,one is item from right,77.33,80.71
Quick sort in 4 minutes CHUNK29,let's swap item from left with item from,80.92,86.08
Quick sort in 4 minutes CHUNK30,right,83.84,86.08
Quick sort in 4 minutes CHUNK31,we repeat the process this time five is,87.25,93.97
Quick sort in 4 minutes CHUNK32,item from left and zero is item from,91.66,96.17999999999999
Quick sort in 4 minutes CHUNK33,right,93.97,96.17999999999999
Quick sort in 4 minutes CHUNK34,again we swap the two,98.49,102.229
Quick sort in 4 minutes CHUNK35,one more time this time we see that item,104.939,110.88999999999999
Quick sort in 4 minutes CHUNK36,from left has a greater index than item,108.43,114.75
Quick sort in 4 minutes CHUNK37,from right so we know we're done,110.89,114.75
Quick sort in 4 minutes CHUNK38,we swap item from left with our pivot,117.12,122.22
Quick sort in 4 minutes CHUNK39,three our pivot is now in its correct,126.87,132.4
Quick sort in 4 minutes CHUNK40,spot to prove it let's review our three,129.88,136.12
Quick sort in 4 minutes CHUNK41,conditions as you can see all items to,132.4,138.61
