Chunk Title,Text,Start Offset,End Offset
Quick sort in 4 minutes,today we're going to learn quicksort,0.03,5.58
Quick sort in 4 minutes,like merge sort quicksort is a recursive,2.54,8.429
Quick sort in 4 minutes,algorithm however when you think of,5.58,10.11
Quick sort in 4 minutes,quicksort I want you to think of the,8.429,13.17
Quick sort in 4 minutes,word pivot a pivot is simply one of the,10.11,15.239999999999998
Quick sort in 4 minutes,items in the array that means the,13.17,17.1
Quick sort in 4 minutes,following three conditions after we,15.24,20.67
Quick sort in 4 minutes,sorted it first the pivot is in its,17.1,22.439
Quick sort in 4 minutes,correct position in the final sorted,20.67,25.26
Quick sort in 4 minutes,array this means that all items to the,22.439,27.539
Quick sort in 4 minutes,left are smaller and all items to the,25.26,30.21
Quick sort in 4 minutes,right are larger let's look at an,27.539,33.54
Quick sort in 4 minutes,example we're asked to sort the,30.21,36.44
Quick sort in 4 minutes,following array let's choose a pivot,33.54,39.239
Quick sort in 4 minutes,I'll explain the best way to do this,36.44,41.25
Quick sort in 4 minutes,later but for now let's just choose,39.239,45.239
Quick sort in 4 minutes,three first we move the pivot to the end,41.25,48.980000000000004
Quick sort in 4 minutes,of the array to get it out of our way,45.239,48.98
Quick sort in 4 minutes,next we're going to look for two items,50.34,55.17
Quick sort in 4 minutes,item from left which is the first item,52.58,57.599999999999994
Quick sort in 4 minutes,starting from the left that is larger,55.17,61.17
Quick sort in 4 minutes,than our pivot second item from right,57.6,63.39
Quick sort in 4 minutes,which is the first item starting from,61.17,67.46000000000001
Quick sort in 4 minutes,the right that is smaller than our pivot,63.39,67.46000000000001
Quick sort in 4 minutes,starting at two we can see that six is,68.36,74.12
Quick sort in 4 minutes,item from left,71.25,74.12
Quick sort in 4 minutes,now starting at the right we see that,75.2,80.71000000000001
Quick sort in 4 minutes,one is item from right,77.33,80.71
Quick sort in 4 minutes,let's swap item from left with item from,80.92,86.08
Quick sort in 4 minutes,right,83.84,86.08
Quick sort in 4 minutes,we repeat the process this time five is,87.25,93.97
Quick sort in 4 minutes,item from left and zero is item from,91.66,96.17999999999999
Quick sort in 4 minutes,right,93.97,96.17999999999999
Quick sort in 4 minutes,again we swap the two,98.49,102.229
Quick sort in 4 minutes,one more time this time we see that item,104.939,110.88999999999999
Quick sort in 4 minutes,from left has a greater index than item,108.43,114.75
Quick sort in 4 minutes,from right so we know we're done,110.89,114.75
Quick sort in 4 minutes,we swap item from left with our pivot,117.12,122.22
Quick sort in 4 minutes,three our pivot is now in its correct,126.87,132.4
Quick sort in 4 minutes,spot to prove it let's review our three,129.88,136.12
Quick sort in 4 minutes,conditions as you can see all items to,132.4,138.61
Quick sort in 4 minutes,the left are smaller and all items to,136.12,142.33
Quick sort in 4 minutes,the right are larger we said quicksort,138.61,144.31
Quick sort in 4 minutes,is recursive let's go through the,142.33,146.29000000000002
Quick sort in 4 minutes,process one more time with the larger,144.31,148.26
Quick sort in 4 minutes,partition we just made,146.29,151.32999999999998
Quick sort in 4 minutes,we'll choose 7 as our pivot and move it,148.26,153.69
Quick sort in 4 minutes,to the end,151.33,153.69000000000003
Quick sort in 4 minutes,I'll let you watch without voiceover,158.14,162.98999999999998
Quick sort in 4 minutes,you,166.46,168.52
Quick sort in 4 minutes,now we have three and seven in their,191.42,196.88899999999998
Quick sort in 4 minutes,correct positions I think you understand,193.829,199.109
Quick sort in 4 minutes,the concept so we'll let recursion,196.889,201.709
Quick sort in 4 minutes,handle the rest,199.109,201.709
Quick sort in 4 minutes,one important question is how do we,203.51,208.01
Quick sort in 4 minutes,choose the pivot this makes a large,205.76,209.35999999999999
Quick sort in 4 minutes,difference in the performance of the,208.01,212.03
Quick sort in 4 minutes,algorithm as we want to choose a pivot,209.36,214.04000000000002
Quick sort in 4 minutes,that divides the array in half or as,212.03,217.48
Quick sort in 4 minutes,close as possible to even out the work,214.04,220.42999999999998
Quick sort in 4 minutes,one popular method is called meeting of,217.48,222.79899999999998
Quick sort in 4 minutes,three in this method we look at the,220.43,225.019
Quick sort in 4 minutes,first middle and last elements of the,222.799,227.24
Quick sort in 4 minutes,array,225.019,229.86
Quick sort in 4 minutes,we sort them properly and choose the,227.24,232.89000000000001
Quick sort in 4 minutes,middle item as our pivot we're making,229.86,234.57000000000002
Quick sort in 4 minutes,the guess that the middle of these three,232.89,236.82
Quick sort in 4 minutes,items could be close to the median of,234.57,239.51999999999998
Quick sort in 4 minutes,the entire array and as you can see it's,236.82,242.67
Quick sort in 4 minutes,not too far off here's the pseudocode,239.52,245.42000000000002
Quick sort in 4 minutes,for quicksort,242.67,245.42
Quick sort in 4 minutes,quicksort has the worst case time,246.72,252.12
Quick sort in 4 minutes,complexity a Big O of N squared but if a,248.64,254.45999999999998
Quick sort in 4 minutes,pivot is chosen properly it can be shown,252.12,257.07
Quick sort in 4 minutes,to have an average case of Big O and log,254.46,261.42
Quick sort in 4 minutes,N thank you for watching please like and,257.07,264.74
Quick sort in 4 minutes,subscribe if you enjoyed the video,261.42,264.74
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,we met before you met Susan actually and,0.06,5.7299999999999995
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,I didn't know this until I did read a,2.58,7.62
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,little this week about her I think she,5.73,9.75
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,was valedictorian of her high school I,7.62,11.780000000000001
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,didn't know that she was this structured,9.75,14.389
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,incredibly organized person who had no,11.78,18.48
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,experience or or history with any kind,14.389,19.89
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,of addiction or anything like this,18.48,22.47
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,and I'd also didn't know she darned you,19.89,25.71
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,down twice I know and I guess if I had,22.47,27.108999999999998
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,one question to ask about her it was,25.71,30.929000000000002
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,what does she see in you know what what,27.109,34.92
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,were you drawn to about her because so,30.929,36.96
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,many of your choices previous to her,34.92,40.7
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,we're not self empowering 100 percent,36.96,43.17
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,they were self destructive yeah well I,40.7,44.85
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,was talking to my shrink on the ride,43.17,48.75
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,down here today and as usual the topic,44.85,50.43
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,of the day is the topic it always is,48.75,52.86
Robert Downey Jr Finds More than Validation from His Wife Susan Downey,which is we don't really know what we're,50.43,55.11
